local_time,location,temprature,humidity,visibility,pressure,wind_speed
2021-09-28 15:22,Cairo,31,38,10,1012,15
2021-09-28 16:07,Cairo,30,40,10,1012,17
2021-09-28 21:22,Cairo,26,61,6,1014,19
2021-09-28 22:47,Cairo,25,65,6,1014,15
2021-09-29 11:02,Cairo,27,58,10,1013,7
2021-09-29 12:10,Cairo,28,51,10,1013,7
2021-09-29 15:18,Cairo,31,38,10,1011,15
2021-09-29 20:37,Cairo,26,61,10,1013,17
2021-09-29 23:34,Cairo,24,74,10,1013,15
2021-09-30 10:37,Cairo,26,65,4,1013,6
2021-09-30 16:40,Cairo,31,41,10,1010,19
