humidity,visibility,pressure,wind_speed
45,10,1012,15
humidity,visibility,pressure,wind_speed
65,6,1014,15
humidity,visibility,pressure,wind_speed
65,6,1014,15
humidity,visibility,pressure,wind_speed
61,10,1014,13
humidity,visibility,pressure,wind_speed
61,10,1014,13
humidity,visibility,pressure,wind_speed
48,10,1013,17
humidity,visibility,pressure,wind_speed
74,10,1013,15
humidity,visibility,pressure,wind_speed
55,6,1012,17
humidity,visibility,pressure,wind_speed
55,6,1012,17
humidity,visibility,pressure,wind_speed
55,6,1012,17
humidity,visibility,pressure,wind_speed
61,6,1013,24
