country_name,deaths,confirmed
Afghanistan,7206,155191
Albania,2705,170778
Algeria,5815,203517
Andorra,130,15222
Angola,1567,58076
Antigua and Barbuda,81,3336
Argentina,115225,5258466
Armenia,5339,262631
Australia,6,1063
Australia,416,64014
Australia,0,212
Australia,7,2042
Australia,4,902
Australia,13,235
Australia,866,39952
Australia,9,1096
Austria,11014,744964
Azerbaijan,6543,484591
Bahamas,533,21114
Bahrain,1389,275130
Bangladesh,27531,1556758
Barbados,78,8609
Belarus,4159,540079
Belgium,0,163792
Belgium,0,168025
Belgium,0,140719
Belgium,0,99736
Belgium,0,173941
Belgium,0,150504
Belgium,0,69519
Belgium,0,34570
Belgium,0,64288
Belgium,25612,24590
Belgium,0,48119
Belgium,0,109394
Belize,418,21003
Benin,159,23890
Bhutan,3,2601
Bolivia,18750,500823
Bosnia and Herzegovina,10635,235536
Botswana,2368,179220
Brazil,1838,87925
Brazil,6217,238249
Brazil,1984,122858
Brazil,13724,426527
Brazil,26866,1234370
Brazil,24233,940756
Brazil,10480,496186
Brazil,12561,587002
Brazil,23533,865159
Brazil,10177,356562
Brazil,13568,534336
Brazil,9564,373084
Brazil,54613,2143234
Brazil,16660,591574
Brazil,9312,441837
Brazil,39109,1513301
Brazil,19747,621192
Brazil,7012,319410
Brazil,7340,368716
Brazil,34881,1438878
Brazil,66261,1288476
Brazil,6529,265879
Brazil,2001,126220
Brazil,19291,1193381
Brazil,149953,4367748
Brazil,6010,278134
Brazil,3791,224657
Brunei,43,7326
Bulgaria,20969,504253
Burkina Faso,184,14262
Burma,17789,465922
Burundi,38,17979
Cabo Verde,340,37604
Cambodia,2336,112883
Cameroon,1459,92303
Canada,2731,299802
Canada,1973,187694
Canada,1,0
Canada,0,13
Canada,1211,60628
Canada,60,4272
Canada,10,1788
Canada,6,1154
Canada,97,6715
Canada,4,664
Canada,9795,595011
Canada,0,296
Canada,11377,410823
Canada,0,13
Canada,700,67810
Canada,9,758
Central African Republic,100,11371
Chad,174,5042
Chile,1247,61414
Chile,1512,98324
Chile,532,27299
Chile,354,27382
Chile,78,8329
Chile,2685,151518
Chile,1027,48832
Chile,1405,89042
Chile,694,49384
Chile,498,29251
Chile,1780,101923
Chile,19194,692495
Chile,644,36049
Chile,1550,68823
Chile,810,41536
Chile,0,49
Chile,3466,123421
China,6,1008
China,9,1124
China,6,603
China,1,1282
China,2,199
China,8,3180
China,2,298
China,2,147
China,6,190
China,7,1317
China,13,1704
China,22,1542
China,213,12221
China,4512,68298
China,4,1187
China,1,419
China,0,1599
China,1,937
China,3,574
China,2,456
China,0,71
China,0,77
China,0,18
China,3,672
China,7,933
China,7,2612
China,0,260
China,3,1209
China,3,490
China,0,1
China,0,0
China,3,980
China,2,1438
China,1,1449
Colombia,255,6831
Colombia,16086,746849
Colombia,455,13316
Colombia,9459,321518
Colombia,2963,156402
Colombia,2548,105313
Colombia,2260,100354
Colombia,27482,1449887
Colombia,934,22846
Colombia,922,35549
Colombia,1535,55825
Colombia,2485,89074
Colombia,395,16381
Colombia,3734,103905
Colombia,6797,263670
Colombia,29,2294
Colombia,95,5131
Colombia,3139,88206
Colombia,1338,42446
Colombia,3322,94193
Colombia,2230,88225
Colombia,3018,89527
Colombia,4254,90547
Colombia,667,16276
Colombia,1738,56238
Colombia,2223,87643
Colombia,135,6872
Colombia,7285,225319
Colombia,1623,59060
Colombia,3654,107389
Colombia,296,0
Colombia,12910,407383
Colombia,17,1750
Colombia,53,2925
Comoros,147,4147
Congo (Brazzaville),197,14359
Congo (Kinshasa),1084,56997
Costa Rica,6413,533873
Cote d'Ivoire,631,60335
Croatia,8650,406307
Cuba,7486,882477
Cyprus,552,120272
Czechia,30475,1692412
Denmark,2,1178
Denmark,0,584
Denmark,2659,359237
Diamond Princess,13,712
Djibouti,167,12870
Dominica,21,3555
Dominican Republic,4049,359597
Ecuador,32762,509238
Egypt,17367,305269
El Salvador,3245,104348
Equatorial Guinea,147,12362
Eritrea,42,6722
