country_name,country_code,Year,Renewables (% electricity),Urban population (% of total population),Total water withdrawal per capita,undernourishment_prevalence,Arable land (% of land area),Arable land (hectares per person),Government Expenditure (IMF based on Mauro et al. (2015)),"GDP per capita, PPP (constant 2017 international $)",Deaths - Unsafe water source,Gender wage gap (%),Population,"Health expenditure, total (% of GDP)",Human Development Index - undp_hdi,population below poverty line
Afghanistan,AFG,2017,86.624204,25.25,943.8,28.9,11.792727,0.212116,21.991904,1460.825751,9.993769,0,38928341,8.182274,0.447722,12.73759541
Albania,ALB,2017,100,59.383,588.5,3.9,22.149635,0.211209,31.922866,9150.518747,0.150238,0,2877800,5.883105,0.722489,1.266547
Algeria,DZA,2017,0.888784,72.052,178.9,3.1,3.1367,0.180501,34.155843,10717.78446,0.549123,0,43851043,7.207178,0.725421,0.329316
Angola,AGO,2017,73.004597,64.839,39.76,19.4,3.930376,0.164337,42.324461,7341.865199,83.063705,0,32866267,3.306983,0.508625,45.06926
Argentina,ARG,2017,24.22157,91.749,682.5,3.4,14.323873,0.890003,38.14186,22424.11773,0.535271,0,45195777,4.785916,0.810871,12.73759541
Armenia,ARM,2017,30.57726,63.103,568.8,2.7,15.665613,0.151454,22.735825,9708.415397,0.116676,0,2963234,4.480149,0.721072,0.880793
Australia,AUS,2017,16.429646,85.904,1112,3.1,3.99791,1.249987,34.86656,44128.72709,0.061833,0,25499881,9.4223,0.92741,0.498484
Austria,AUT,2017,75.715419,58.094,452,3.1,16.10446,0.151058,51.47672,52489.75721,0.012136,0,9006400,11.205473,0.879002,0.31809
Azerbaijan,AZE,2017,8.527369,55.343,1216,3.1,25.338124,0.212553,26.041947,11914.99483,1.103616,0,10139175,6.036863,0.740672,0
Bahrain,BHR,2017,0.03366,89.186,682.5,3.1,2.051282,0.001071,28.417326,47000.31533,0.780886,0,1701583,4.980796,0.81946,12.73759541
Bangladesh,BGD,2017,1.897513,35.858,682.5,13.5,59.593839,0.048579,15.32731,2537.111198,25.290276,0,164689383,2.818999,0.546428,11.35168
Belarus,BLR,2017,2.407097,78.134,187,3.1,28.213212,0.602952,49.416896,14417.35353,0.036246,0,9449321,5.687722,0.786163,0
Belgium,BEL,2017,18.636417,97.961,650.1,3.1,27.608983,0.073493,52.19044,48589.46005,0.071677,0,11589616,10.594751,0.882948,0.147869
Benin,BEN,2017,1.957638,46.768,17.53,7.4,24.831501,0.250555,25.021626,2685.130261,65.349835,0,12123198,4.594297,0.467581,47.7288
Bhutan,BTN,2017,99.996471,40.167,682.5,3.1,2.477454,0.12675,36.031194,6743.046532,16.625246,0,771612,3.573015,0.572703,1.542608
Bolivia,BOL,2017,26.389912,69.08,682.5,15.6,3.91489,0.378903,34.34911,6085.386452,3.310481,0,11673029,6.334827,0.64123,6.546306
andHerzegovina,BIH,2017,24.45296,47.876,682.5,3.1,20.703125,0.316273,46.987695,10441.79632,0.106412,0,3280815,9.572016,0.710198,0.058987
Botswana,BWA,2017,0.175821,68.7,108.6,22.4,0.458066,0.117728,31.342909,14051.54126,27.384104,0,2351625,5.412003,0.681066,13.98474
Brazil,BRA,2017,80.098408,86.309,682.5,3.1,6.67158,0.268301,44.40182,13564.9942,1.577494,0,212559409,8.322834,0.737383,4.418437
